Filename,Category,Year,Brightness,Saturation,Edge_Score,Red,Orange,Yellow,Green,Blue,Purple,Black,White,Grey
Baiersdorf_Hauptstraße_Postkarte_6,Buildings / Streets / Architecture,1900,0.4203267342,0.1794416594,0.06212988367,0,0,0.0002230814991,0.3180398572,0.06162626413,0,0.0749553837,0.0002788518739,0.5448765616
AK_-_Erlangen_-_Sieglitzhoferstrasse_-_1914,Buildings / Streets / Architecture,1914,0.7132602559,0.1127159066,0.05066206028,0.002531151804,0.1355574819,0.00004984288655,0,0,0.00001733665619,0.000002167082024,0.2738411529,0.5880008668
Eltersdorf_Postkarte_001,Nature / Parks / Landscapes,1919,0.5683579463,0.3667638844,0.06766774156,0.006308324681,0.9002568259,0.00001517883706,0,0,0,0,0.05284360333,0.04057606722
Alterlangen_Postkarte_001,Nature / Parks / Landscapes,1910,0.4384901412,0.3608248796,0.05312122799,0.008441679627,0.7150124417,0.08897822706,0.004069984448,0.0003250388802,0.00004354587869,0.0005412130638,0.000101088647,0.1824867807
Bergkirchweih_Erlangen_Postkarte_001,Festivals / Events,1910,0.4293451529,0.163376083,0.054372758,0.04373872473,0.2826205288,0.07961430793,0.008632970451,0.01374339036,0.001590979782,0.001020217729,0.0306096423,0.5384292379
1200px-Marktplatz_mit_Schloss_in_Erlangen_1921,Buildings / Streets / Architecture,1921,0.5587354081,0.2112668682,0.07284962996,0.1954317399,0.7437155469,0,0,0,0.001453488372,0.000100129199,0.0008182601206,0.05848083549
Erlangen_-_Bahnhof_Postkarte_002,Buildings / Streets / Architecture,1899,0.6672377709,0.1612568739,0.0532564473,0,0.01510371517,0.1175603715,0.004965944272,0.2781006192,0.0002910216718,0.0006037151703,0.0001160990712,0.5832585139
Bruck_(Erlangen)_Postkarte_001,Buildings / Streets / Architecture,1900,0.7081365861,0.1912661861,0.08270604963,0.01661085271,0.1548914729,0.1399131783,0.05209767442,0.05209922481,0.00002790697674,0.006201550388,0.249255814,0.3289023256
Erlangen_-_Bahnhof_Postkarte_001,Buildings / Streets / Architecture,1910,0.5781139288,0.2632652491,0.07808963513,0.001927407407,0.1280859259,0.4483288889,0.05179407407,0.09437037037,0.0005037037037,0.009201481481,0.1221481481,0.14364
Erlangen_Postkarte_004,Buildings / Streets / Architecture,1902,0.5608692525,0.2553331215,0.0402923294,0.0001640625,0.2171640625,0.3478125,0.00189375,0,0.0000140625,0.0363,0.00000625,0.3966453125
Erlangen_Postkarte_002,Buildings / Streets / Architecture,1904,0.6684838833,0.2755005642,0.05637377819,0.001891056911,0.1267365854,0.476601626,0.08641138211,0.0006764227642,0,0.000437398374,0.0872796748,0.2199658537
Erlangen_Postkarte_006,Buildings / Streets / Architecture,1904,0.7233994443,0.1470262257,0.05342857969,0.002838969404,0.1982302738,0.1438115942,0.003628019324,0.0001771336554,0.000006441223833,0.0009774557166,0.3055458937,0.344784219
Erlangen_Postkarte_005,Buildings / Streets / Architecture,1903,0.7226965605,0.2490900765,0.05760423144,0.0001176470588,0.1668853695,0.5405550528,0.004076923077,0.001,0,0.003363499246,0.09143137255,0.1925701357
Erlangen_Postkarte_008,Buildings / Streets / Architecture,1900,0.689495163,0.1617367589,0.0773052514,0.002851373183,0.1268416801,0.2319515347,0.01722294023,0.03110177706,0.00003069466882,0.0009063004847,0.2922342488,0.2968594507
Erlangen_Postkarte_010,Buildings / Streets / Architecture,1897,0.6918681297,0.2101488795,0.04750538701,0.0338374613,0.201119195,0.3204814241,0.0130123839,0.000001547987616,0,0.00277244582,0.2008900929,0.2278854489
Erlangen_Postkarte_007,Buildings / Streets / Architecture,1913,0.6330526255,0.3883862427,0.03589064183,0.004190243902,0.5039479675,0.4049056911,0.001780487805,0,0,0.00001788617886,0.05077398374,0.03438373984
Erlangen_Postkarte_012,Nature / Parks / Landscapes,1905,0.4749816735,0.1439232282,0.07119945913,0.03108438061,0.3698240575,0.02152603232,0.0003806104129,0,0.0000197486535,0.0001741472172,0.000003590664273,0.5769874327
Erlangen_Postkarte_014,Buildings / Streets / Architecture,1900,0.6763226688,0.1987540087,0.043783909,0.002162895928,0.1239396682,0.2942699849,0.0340331825,0.01089441931,0,0.0005369532428,0.0803785822,0.4537843137
Bergkirchweih_Erlangen_1903_003,Festivals / Events,1903,0.6256411803,0.3394743849,0.1218370114,0.4755394477,0.3963116371,0.0185581854,0.02405719921,0.006665680473,0.001576923077,0.006151873767,0.001203155819,0.06993589744
Erlangen_Postkarte_001,Nature / Parks / Landscapes,1918,0.5169346364,0.3124010498,0.06622724724,0.000003149606299,0.9898062992,0.0003905511811,0.00000157480315,0,0,0.002522834646,0.001686614173,0.005588976378
Erlangen_Postkarte_003,Buildings / Streets / Architecture,1910,0.5762932537,0.2473647626,0.06532912223,0.000503125,0.1440796875,0.4999546875,0.009528125,0.0000328125,0.000003125,0.019803125,0.090696875,0.2353984375
Erlangen_Ludwig-Donau-Main-Kanal_mit_Denkmal_Postkarte_1903_001,Nature / Parks / Landscapes,1903,0.5077328723,0.2702185452,0.0904827355,0.01584573413,0.9087103175,0.000818452381,0.00000744047619,0.00000248015873,0.0003224206349,0.03235615079,0.0008953373016,0.04104166667
Erlangen_Postkarte_015,Buildings / Streets / Architecture,1898,0.6686268642,0,0.0533453223,0,0,0,0,0,0,0.0152610687,0.0004503816794,0.9842885496
Erlangen_Postkarte_017,Buildings / Streets / Architecture,1900,0.4960091585,0.3496484514,0.05693399979,0.0001065830721,0.6762946708,0.2903103448,0.001771159875,0,0.000003134796238,0.006570532915,0.02339968652,0.001543887147
Erlangen_Postkarte_021,Buildings / Streets / Architecture,1909,0.527886758,0.2878507371,0.05017740349,0.002383561644,0.8039914384,0.0009126712329,0.000003424657534,0,0,0.00001369863014,0.001679794521,0.191015411
Erlangen_Postkarte_020,Buildings / Streets / Architecture,1910,0.4700312787,0.3324218631,0.03463570912,0.001350877193,0.1823556619,0.4566842105,0.02186124402,0.0526969697,0.0001036682616,0.0009377990431,0.08039553429,0.2036140351
Erlangen_Postkarte_019,Buildings / Streets / Architecture,1900,0.6022772941,0,0.07727783806,0,0,0,0,0,0,0.02232488114,0.0002234548336,0.977451664
Erlangen_Postkarte_018,Buildings / Streets / Architecture,1900,0.7780566394,0.3004179688,0.05728032171,0.01222152886,0.3915678627,0.1078689548,0.001929797192,0,0.000003120124805,0.0000608424337,0.3019625585,0.1843853354
Erlangen_Postkarte_009,Buildings / Streets / Architecture,1910,0.4384362483,0,0.08958963897,0,0,0,0,0,0,0.001794348509,0.0003453689168,0.9978602826
Erlangen_Postkarte_022,Buildings / Streets / Architecture,1910,0.633142398,0,0.05223862922,0,0,0,0,0,0,0.0001597444089,0.0003977635783,0.999442492
Erlangen_Postkarte_025,Buildings / Streets / Architecture,1900,0.7083009282,0.265009466,0.04202953655,0.00005479452055,0.3179512938,0.1866560122,0.009423135464,0.000007610350076,0,0.00009284627093,0.02262100457,0.4631933029
Erlangen_Postkarte_013,Nature / Parks / Landscapes,1910,0.509417426,0.3720814298,0.06506084101,0.0001734104046,0.08955202312,0.331533237,0.2898179191,0.1404754335,0.000001445086705,0.0104132948,0.003473988439,0.1345592486
Erlangen_Postkarte_026,Buildings / Streets / Architecture,1901,0.6794200811,0.18314174,0.0554281303,0.009338557994,0.4183103448,0.01762539185,0.002819749216,0.001879310345,0,0.0001896551724,0.2119294671,0.3379075235
Erlangen_Postkarte_011,Nature / Parks / Landscapes,1910,0.3652347284,0.02018640304,0.0741025915,0.002189627229,0.0004635332253,0.000008103727715,0,0.000008103727715,0.001241491086,0.02855591572,0.00007131280389,0.9674619125
Kriegenbrunn_Postkarte_001,Buildings / Streets / Architecture,1903,0.7433806511,0.2146701646,0.07091802824,0.0108921095,0.1688792271,0.1414911433,0.01450724638,0.08555555556,0.00002254428341,0.001913043478,0.3287584541,0.2479806763
Bergkirchweih_Erlangen_1900_001,Festivals / Events,1900,0.709484535,0.2909398786,0.1123416487,0.03711810787,0.3805674689,0.0822633266,0.01805413163,0.02344729523,0.0004834946997,0.01277195203,0.3277434753,0.1175507477
Erlangen_Postkarte_016,Buildings / Streets / Architecture,1899,0.672896597,0.1773168483,0.1091690326,0.00469170579,0.1792190923,0.1813302034,0.01119405321,0.008463223787,0.0001564945227,0.02541001565,0.2338920188,0.3556431925
Erlangen_-_Frauenklinik,Buildings / Streets / Architecture,1914,0.5909827747,0.06165640679,0.08463095819,0.002344048986,0.004326500979,0.001812205939,0.002093604376,0.02953276603,0.00660301434,0.04552886022,0.2075369758,0.7002220234
Erlangen_Postkarte_1897_001,Buildings / Streets / Architecture,1897,0.6419805953,0.207851057,0.07439553764,0.008114205527,0.665697323,0.05351683938,0.004736614853,0.0006832901554,0.0003734887737,0.01339054404,0.05394214162,0.1995455527
Bergkirchweih_Erlangen_1905_001,Festivals / Events,1905,0.4383644439,0.3920138751,0.1189618215,0.007801963295,0.703418694,0.2125906957,0.005038412292,0.00002454118651,0.0005655142979,0.02023260777,0.01634016219,0.0339874093
Ldmk_Schleuse_89,Nature / Parks / Landscapes,1900,0.5590370967,0,0.0487315569,0,0,0,0,0,0,0.03651752922,0.1180712298,0.845411241
Erlangen_-_Gemäldegalerie,Buildings / Streets / Architecture,1919,0.6785624992,0,0.1026196646,0,0,0,0,0,0,0.01926376728,0.3028266889,0.6779095438
Erlangen_-_Bahnhof,Buildings / Streets / Architecture,1917,0.6650402848,0.2657982514,0.08319137154,0.02514489807,0.4006229089,0.07284632699,0.03480078342,0.1797785803,0.002454165438,0.01821955413,0.1340543026,0.1320784801
Bergkirchweih_Erlangen_1900_002,Festivals / Events,1900,0.6712485541,0.3995089527,0.09021921023,0.03235937092,0.7993131689,0.03382520882,0.00006117854346,0,0.000004894283477,0.001408737927,0.06992462803,0.06310281258
Erlangen_-_Burgberg,Nature / Parks / Landscapes,1919,0.6102366072,0.2239227004,0.1099771899,0.01898641262,0.2286024375,0.07399785559,0.02331193293,0.2170782028,0.003204817319,0.02056457215,0.1527000422,0.2615537269
Erlangen_-_Eichenwald,Nature / Parks / Landscapes,1916,0.5683363287,0.08760620092,0.1408928676,0.0001655313424,0.01072245823,0.02598577225,0.02246194103,0.005237411672,0.00006621253695,0.02729678048,0.2377374382,0.6703264543
Erlangen_Postkarte_027,Buildings / Streets / Architecture,1910,0.6029996882,0,0.09923347953,0,0,0,0,0,0,0.03013837257,0.007934737712,0.9619268897
Erlangen_-_Schlossplatz,Buildings / Streets / Architecture,1917,0.6680981866,0.2449292299,0.1147669144,0.00136417886,0.114679676,0.2051071363,0.04135274675,0.2149937944,0.00007145068712,0.0310201835,0.1722451129,0.2191657206
"Quelle_an_der_Solitude,_Erlangen_1905_001",Nature / Parks / Landscapes,1905,0.5469541946,0.3010030732,0.131281516,0.01430477143,0.2305040837,0.2937402552,0.07514774421,0.009872238369,0.000730454561,0.05723127594,0.1072382004,0.2112309761